"Key","Source","Translation","","","","","","","","",""
"16B531A94A5E67697A84D0851973B8D1","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"016106D64984FB04BAB984A1EB6C6EE1","9mm gun","9-мм пістолет","","","","","","","","",""
"1C6F09234DA4EC18CB28E6918DCF98CC","9mm gun","9-мм пістолет","","","","","","","","",""
"432039E54666FF2A21042787FFAF3C65","9mm gun","9-мм пістолет","","","","","","","","",""
"63994AA444090C0D47794AA4448D89A0","9mm gun","9-мм пістолет","","","","","","","","",""
"ACFA9EC549E58A460B521E865A1C26E1","9mm gun","9-мм пістолет","","","","","","","","",""
"21BE500048F6FBB35A4FEAB7A3EEADDB","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"22C1E00842F022FB9596EE8960F47122","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"26C6BC5A4E7ED27144D191AB7E8527D6","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"47F96F3D40AD3CFA50686A826800CD4A","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"5CFE48184D9B9C50CEEF7FB02DA6736E","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"5D84104B476AB2E28D15CC9B00D65CAE","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"D4186197481CBB7D62303EBC29B9026D","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"E75C0FE74F61ECFD0DE98094E47D45F6","You create a Shadow vortex at your target's feet. Coming to life, the Shadows interrupt an enemy in the area and inflict tremendous damage.","Ви створюєте тіньовий вихор біля ніг вашої цілі. Оживаючи, тіні перехоплюють ворога області та завдають величезної шкоди.","","","","","","","","",""
"33DD75C14D6E94A62927A5B66849BA80","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"887CC7C54447E203C958EAAAD18F0E2E","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"9164EE2F40082D0C93FC38B12FEFB668","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"A4900D124D8D6ED874E55EB157002A8E","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"B9F7247D447063BF501740A0780ED640","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"BD0FF38B45B5CB7827A32796AABA6F9D","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"C4F39DB4434A643EBD143C82F10C0260","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"D3191899489FCF718BE6B9BD19D9BD60","Increase the Damage inflicted when using Bite in combat.","Збільшує шкоду, завдавану під час використанні укусу в бою.","","","","","","","","",""
"22792BDC4023E0237689F298A9CE6E57","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"283C4F39472E9AA20EA340A2AB8E1F4C","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"67EFD3474E2B1D60B082DBB62461E4B7","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"742703F748D60ABAFF5751BE57A67746","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"77F418B24556D72EA671BAB9E86165C2","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"7EE6A8DB45464B3F134102B6416ABD53","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"7FA614A24FB19BAD6703638DB6902B31","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"818BCC0349238FAA6CE52C95A1F57257","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"95B2F8804058FAA9C0E09DB4FA789C01","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"9786EE214338CE86CBB02C85823063DB","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"C665F8E74C6B5CB57C5F46B70DAC5333","Increase your Life regeneration when using Bite in combat.","Збільшує відновлення здоров'я під час використання укусу в бою.","","","","","","","","",""
"37BBFCA442C0E7B9EF83ABA6FC29EF1C","Increase the number of Bullets you can carry.","Збільшує кількість куль, які ви можете носити.","","","","","","","","",""
"4A9555324352A36D5FBD0482FECB0CD2","Increase the number of Bullets you can carry.","Збільшує кількість куль, які ви можете носити.","","","","","","","","",""
"6C1FED014A5060863691439A4344478B","Increase the number of Bullets you can carry.","Збільшує кількість куль, які ви можете носити.","","","","","","","","",""
"8700CA05461FF9CE15989A8C646B6424","Increase the number of Bullets you can carry.","Збільшує кількість куль, які ви можете носити.","","","","","","","","",""
